date, pm25, pm10, o3, no2, so2, co
2023/12/9, 54, 19, 30, 20, , 4
2023/12/10, 58, 16, 23, 14, , 3
2023/12/11, 52, 11, 28, 10, , 2
2023/12/12, 45, 3, 31, 6, , 2
2023/12/13, 13, 9, 22, 18, , 3
2023/12/14, 36, 13, 10, 21, , 3
2023/12/15, 59, 17, 30, 17, , 3
2023/12/16, 60, 4, 32, 3, , 2
2023/12/17, 11, 4, 29, 10, , 2
2023/12/18, 14, 10, 15, 20, , 3
2023/12/19, 36, 15, 17, 28, , 4
2023/12/20, 61, 8, 32, 14, , 4
2023/12/21, 31, 5, 28, 13, , 2
2023/12/22, 20, 5, 23, 17, , 3
2023/12/23, 21, 10, 21, 18, , 3
2023/12/24, 43, 12, 13, 28, , 4
2023/12/25, 50, 9, 27, 20, , 4
2023/12/26, 35, 6, 25, 12, , 3
2023/12/27, 24, 12, 23, 13, , 4
2023/12/28, 44, 16, 23, 23, , 4
2023/12/29, 59, 14, 29, 18, , 4
2023/12/30, 54, 15, 30, 12, , 3
2023/12/31, 64, 4, 30, 4, , 2
2023/7/1, 18, 9, 73, 3, , 1
2023/7/2, 23, 16, 81, 8, , 2
2023/7/3, 46, 15, 53, 5, , 2
2023/7/4, 47, 10, 41, 4, , 2
2023/7/5, 28, 11, 50, 5, , 
2023/7/6, 28, 19, 74, 7, , 2
2023/7/7, 52, 22, 31, 7, , 2
2023/7/8, 52, 22, 22, 4, , 1
2023/7/9, 51, 21, 57, 5, , 1
2023/7/10, 55, 21, 70, 8, , 3
2023/7/11, 54, 16, 46, 5, , 1
2023/7/12, 46, 10, 29, 9, , 1
2023/7/13, 27, 17, 65, 10, , 2
2023/7/14, 46, 18, 24, 5, , 2
2023/7/15, 43, 15, 43, 5, , 1
2023/7/16, 40, 16, 42, 4, , 1
2023/7/17, 50, 20, 100, 8, , 2
2023/7/18, 58, 24, 50, 9, , 1
2023/7/19, 61, 15, 36, 7, , 1
2023/7/20, 41, 14, 40, 4, , 2
2023/7/21, 40, 11, 41, 4, , 
2023/7/22, 33, 11, 61, 4, , 2
2023/7/23, 34, 10, 40, 4, , 1
